"date","time","home_team","away_team","home_odds","away_odds","home_score","away_score","home_prob","away_prob","pinnacle_margin"
"06/09/2018","01:00","Cleveland Cavaliers","Golden State Warriors",144,-164,"85","108",0.409836065573771,0.621212121212121,0.0310481867858918
"06/07/2018","01:00","Cleveland Cavaliers","Golden State Warriors",127,-147,"102","110",0.440528634361233,0.595141700404858,0.0356703347660918
"06/04/2018","00:00","Golden State Warriors","Cleveland Cavaliers",-526,433,"122","103",0.840255591054313,0.187617260787992,0.0278728518423055
"06/01/2018","01:00","Golden State Warriors","Cleveland Cavaliers",-833,616,"124","114",0.892818863879957,0.139664804469274,0.0324836683492307
"05/29/2018","01:00","Houston Rockets","Golden State Warriors",231,-270,"92","101",0.302114803625378,0.72972972972973,0.0318445333551074
"05/28/2018","00:30","Boston Celtics","Cleveland Cavaliers",-143,125,"79","87",0.588477366255144,0.444444444444444,0.0329218106995885
"05/27/2018","01:00","Golden State Warriors","Houston Rockets",-909,662,"115","86",0.900891972249752,0.131233595800525,0.032125568050277
"05/26/2018","00:30","Cleveland Cavaliers","Boston Celtics",-323,271,"109","99",0.763593380614657,0.269541778975741,0.0331351595903984
"05/25/2018","01:00","Houston Rockets","Golden State Warriors",-104,-111,"98","94",0.509803921568627,0.5260663507109,0.0358702722795279
"05/24/2018","00:30","Boston Celtics","Cleveland Cavaliers",-120,104,"96","83",0.545454545454545,0.490196078431373,0.035650623885918
"05/23/2018","01:00","Golden State Warriors","Houston Rockets",-400,332,"92","95",0.8,0.231481481481481,0.0314814814814814
"05/22/2018","00:30","Cleveland Cavaliers","Boston Celtics",-323,265,"111","102",0.763593380614657,0.273972602739726,0.0375659833543831
"05/21/2018","00:00","Golden State Warriors","Houston Rockets",-357,290,"126","85",0.781181619256018,0.256410256410256,0.0375918756662741
"05/20/2018","00:30","Cleveland Cavaliers","Boston Celtics",-294,246,"116","86",0.746192893401015,0.289017341040462,0.0352102344414778
"05/17/2018","01:00","Houston Rockets","Golden State Warriors",-123,106,"127","105",0.551569506726457,0.485436893203884,0.0370063999303409
"05/16/2018","00:30","Boston Celtics","Cleveland Cavaliers",-109,-106,"107","94",0.521531100478469,0.514563106796116,0.0360942072745853
"05/15/2018","01:00","Houston Rockets","Golden State Warriors",-127,110,"106","119",0.559471365638767,0.476190476190476,0.0356618418292427
"05/13/2018","19:30","Boston Celtics","Cleveland Cavaliers",-101,-114,"108","83",0.502487562189055,0.532710280373832,0.0351978425628865
"05/10/2018","00:00","Boston Celtics","Philadelphia 76ers",-120,104,"114","112",0.545454545454545,0.490196078431373,0.035650623885918
"05/09/2018","02:30","Golden State Warriors","New Orleans Pelicans",-833,614,"113","104",0.892818863879957,0.140056022408964,0.0328748862889205
"05/09/2018","00:00","Houston Rockets","Utah Jazz",-909,651,"112","102",0.900891972249752,0.133155792276964,0.0340477645267163
"05/08/2018","00:30","Cleveland Cavaliers","Toronto Raptors",-213,179,"128","93",0.680511182108626,0.3584229390681,0.0389341211767265
"05/07/2018","22:00","Philadelphia 76ers","Boston Celtics",-323,268,"103","92",0.763593380614657,0.271739130434783,0.0353325110494398
"05/07/2018","00:00","Utah Jazz","Houston Rockets",223,-263,"87","100",0.309597523219814,0.724517906336088,0.0341154295559023
"05/06/2018","19:30","New Orleans Pelicans","Golden State Warriors",215,-256,"92","118",0.317460317460317,0.719101123595506,0.036561441055823
