"date","time","home_team","away_team","home_odds","away_odds","home_score","away_score","home_prob","away_prob","pinnacle_margin"
"06/17/2015","01:00","Cleveland Cavaliers","Golden State Warriors",129,-149,"97","105",0.436681222707424,0.598393574297189,0.0350747970046124
"06/15/2015","00:00","Golden State Warriors","Cleveland Cavaliers",-455,366,"104","91",0.81981981981982,0.214592274678112,0.0344120944979314
"06/12/2015","01:00","Cleveland Cavaliers","Golden State Warriors",159,-182,"82","103",0.386100386100386,0.645390070921986,0.0314904570223717
"06/10/2015","01:00","Cleveland Cavaliers","Golden State Warriors",110,-127,"96","91",0.476190476190476,0.559471365638767,0.0356618418292427
"06/08/2015","00:00","Golden State Warriors","Cleveland Cavaliers",-333,276,"93","95",0.76905311778291,0.265957446808511,0.0350105645914205
"06/05/2015","01:00","Golden State Warriors","Cleveland Cavaliers",-238,204,"108","100",0.704142011834319,0.328947368421053,0.033089380255372
"05/28/2015","01:00","Golden State Warriors","Houston Rockets",-526,401,"104","90",0.840255591054313,0.199600798403194,0.0398563894575066
"05/27/2015","00:30","Cleveland Cavaliers","Atlanta Hawks",-333,274,"118","88",0.76905311778291,0.267379679144385,0.0364327969272948
"05/26/2015","01:00","Houston Rockets","Golden State Warriors",164,-185,"128","115",0.378787878787879,0.649122807017544,0.0279106858054228
"05/25/2015","00:30","Cleveland Cavaliers","Atlanta Hawks",-400,313,"114","111",0.8,0.242130750605327,0.042130750605327
"05/24/2015","01:00","Houston Rockets","Golden State Warriors",-123,106,"80","115",0.551569506726457,0.485436893203884,0.0370063999303409
"05/23/2015","00:30","Atlanta Hawks","Cleveland Cavaliers",-161,140,"82","94",0.616858237547893,0.416666666666667,0.0335249042145596
"05/22/2015","01:00","Golden State Warriors","Houston Rockets",-500,388,"99","98",0.833333333333333,0.204918032786885,0.0382513661202186
"05/21/2015","00:30","Atlanta Hawks","Cleveland Cavaliers",-137,119,"89","97",0.578059071729958,0.45662100456621,0.0346800762961679
"05/20/2015","01:00","Golden State Warriors","Houston Rockets",-625,474,"110","106",0.862068965517241,0.174216027874564,0.0362849933918059
"05/17/2015","19:30","Houston Rockets","Los Angeles Clippers",117,-135,"113","100",0.460829493087558,0.574468085106383,0.0352975781939406
"05/16/2015","01:30","Memphis Grizzlies","Golden State Warriors",179,-213,"95","108",0.3584229390681,0.680511182108626,0.0389341211767265
"05/15/2015","23:00","Washington Wizards","Atlanta Hawks",-139,121,"91","94",0.581589958158996,0.452488687782805,0.0340786459418012
