"date","time","home_team","away_team","home_odds","away_odds","home_score","away_score","home_prob","away_prob","pinnacle_margin"
"10/11/2020","23:30","Miami Heat","Los Angeles Lakers",200,-238,"93","106",0.333333333333333,0.704142011834319,0.0374753451676528
"10/10/2020","01:00","Los Angeles Lakers","Miami Heat",-323,262,"108","111",0.763593380614657,0.276243093922652,0.0398364745373092
"10/07/2020","01:00","Miami Heat","Los Angeles Lakers",275,-333,"96","102",0.266666666666667,0.76905311778291,0.0357197844495767
"10/04/2020","23:30","Miami Heat","Los Angeles Lakers",340,-435,"115","104",0.227272727272727,0.813084112149533,0.04035683942226
"10/03/2020","01:00","Los Angeles Lakers","Miami Heat",-588,443,"124","114",0.854651162790698,0.184162062615101,0.0388132254057991
"10/01/2020","01:00","Los Angeles Lakers","Miami Heat",-189,163,"116","98",0.653979238754325,0.380228136882129,0.0342073756364547
"09/27/2020","23:30","Miami Heat","Boston Celtics",125,-145,"125","113",0.444444444444444,0.591836734693878,0.036281179138322
"09/27/2020","01:00","Los Angeles Lakers","Denver Nuggets",-213,179,"117","107",0.680511182108626,0.3584229390681,0.0389341211767265
"09/26/2020","00:30","Boston Celtics","Miami Heat",-159,137,"121","108",0.613899613899614,0.421940928270042,0.0358405421696562
"09/25/2020","01:00","Denver Nuggets","Los Angeles Lakers",204,-244,"108","114",0.328947368421053,0.709302325581395,0.0382496940024479
"09/24/2020","00:30","Miami Heat","Boston Celtics",136,-159,"112","109",0.423728813559322,0.613899613899614,0.037628427458936
"09/23/2020","01:00","Denver Nuggets","Los Angeles Lakers",213,-256,"114","106",0.319488817891374,0.719101123595506,0.0385899414868793
"09/20/2020","23:30","Los Angeles Lakers","Denver Nuggets",-303,250,"105","103",0.751861042183623,0.285714285714286,0.0375753278979085
"09/20/2020","00:30","Miami Heat","Boston Celtics",139,-161,"106","117",0.418410041841004,0.616858237547893,0.035268279388897
"09/19/2020","01:00","Los Angeles Lakers","Denver Nuggets",-294,240,"126","114",0.746192893401015,0.294117647058824,0.0403105404598387
"09/17/2020","23:00","Boston Celtics","Miami Heat",-145,125,"101","106",0.591836734693878,0.444444444444444,0.036281179138322
"09/16/2020","01:00","Los Angeles Clippers","Denver Nuggets",-323,262,"89","104",0.763593380614657,0.276243093922652,0.0398364745373092
"09/15/2020","22:30","Boston Celtics","Miami Heat",-128,110,"114","117",0.56140350877193,0.476190476190476,0.0375939849624061
"09/13/2020","17:00","Denver Nuggets","Los Angeles Clippers",301,-370,"111","98",0.249376558603491,0.787234042553192,0.0366106011566827
"09/13/2020","00:00","Los Angeles Lakers","Houston Rockets",-250,206,"119","96",0.714285714285714,0.326797385620915,0.0410830999066294
"09/12/2020","01:00","Toronto Raptors","Boston Celtics",125,-145,"87","92",0.444444444444444,0.591836734693878,0.036281179138322
"09/11/2020","22:30","Los Angeles Clippers","Denver Nuggets",-400,323,"105","111",0.8,0.236406619385343,0.0364066193853427
"09/10/2020","23:00","Houston Rockets","Los Angeles Lakers",175,-208,"100","110",0.363636363636364,0.675324675324675,0.0389610389610389
"09/10/2020","01:00","Denver Nuggets","Los Angeles Clippers",257,-312,"85","96",0.280112044817927,0.757281553398058,0.0373935982159854
"09/09/2020","22:30","Boston Celtics","Toronto Raptors",-145,125,"122","125",0.591836734693878,0.444444444444444,0.036281179138322
"09/09/2020","01:00","Houston Rockets","Los Angeles Lakers",152,-179,"102","112",0.396825396825397,0.6415770609319,0.0384024577572963
"09/08/2020","22:30","Milwaukee Bucks","Miami Heat",179,-213,"94","103",0.3584229390681,0.680511182108626,0.0389341211767265
"09/08/2020","01:00","Denver Nuggets","Los Angeles Clippers",346,-435,"107","113",0.224215246636771,0.813084112149533,0.0372993587863042
"09/07/2020","22:30","Toronto Raptors","Boston Celtics",102,-120,"89","111",0.495049504950495,0.545454545454545,0.0405040504050405
"09/07/2020","00:30","Los Angeles Lakers","Houston Rockets",-238,199,"117","109",0.704142011834319,0.334448160535117,0.0385901723694366
"09/06/2020","19:30","Miami Heat","Milwaukee Bucks",106,-123,"115","118",0.485436893203884,0.551569506726457,0.0370063999303409
