"date","time","home_team","away_team","home_odds","away_odds","home_score","away_score","home_prob","away_prob","pinnacle_margin"
"06/13/2017","01:00","Golden State Warriors","Cleveland Cavaliers",-400,323,"129","120",0.8,0.236406619385343,0.0364066193853427
"06/10/2017","01:00","Cleveland Cavaliers","Golden State Warriors",167,-192,"137","116",0.374531835205993,0.657534246575342,0.032066081781335
"06/08/2017","01:00","Cleveland Cavaliers","Golden State Warriors",137,-156,"113","118",0.421940928270042,0.609375,0.0313159282700421
"06/05/2017","00:00","Golden State Warriors","Cleveland Cavaliers",-400,332,"132","113",0.8,0.231481481481481,0.0314814814814814
"06/02/2017","01:00","Golden State Warriors","Cleveland Cavaliers",-323,270,"113","91",0.763593380614657,0.27027027027027,0.0338636508849275
"05/26/2017","00:30","Boston Celtics","Cleveland Cavaliers",408,-500,"102","135",0.196850393700787,0.833333333333333,0.0301837270341208
"05/24/2017","00:30","Cleveland Cavaliers","Boston Celtics",-2500,1251,"112","99",0.961538461538461,0.074019245003701,0.0355577065421624
"05/23/2017","01:00","San Antonio Spurs","Golden State Warriors",546,-714,"115","129",0.154798761609907,0.877149877149877,0.0319486387597845
"05/22/2017","00:30","Cleveland Cavaliers","Boston Celtics",-3333,1476,"108","111",0.97087095834547,0.0634517766497462,0.0343227349952167
"05/21/2017","01:00","San Antonio Spurs","Golden State Warriors",369,-476,"108","120",0.213219616204691,0.826388888888889,0.0396085050935797
"05/20/2017","00:30","Boston Celtics","Cleveland Cavaliers",181,-213,"86","130",0.355871886120996,0.680511182108626,0.0363830682296227
"05/18/2017","00:30","Boston Celtics","Cleveland Cavaliers",160,-182,"104","117",0.384615384615385,0.645390070921986,0.0300054555373703
"05/17/2017","01:00","Golden State Warriors","San Antonio Spurs",-1250,883,"136","100",0.925925925925926,0.101729399796541,0.027655325722467
"05/16/2017","00:00","Boston Celtics","Washington Wizards",-213,181,"115","105",0.680511182108626,0.355871886120996,0.0363830682296227
"05/14/2017","19:30","Golden State Warriors","San Antonio Spurs",-625,476,"113","111",0.862068965517241,0.173611111111111,0.0356800766283525
"05/13/2017","00:00","Washington Wizards","Boston Celtics",-208,177,"92","91",0.675324675324675,0.36101083032491,0.0363355056495851
"05/12/2017","00:00","Houston Rockets","San Antonio Spurs",-500,393,"75","114",0.833333333333333,0.202839756592292,0.0361730899256254
"05/11/2017","00:00","Boston Celtics","Washington Wizards",-169,146,"123","101",0.628252788104089,0.40650406504065,0.0347568531447395
"05/10/2017","00:00","San Antonio Spurs","Houston Rockets",-222,188,"110","107",0.68944099378882,0.347222222222222,0.0366632160110421
"05/09/2017","01:00","Utah Jazz","Golden State Warriors",351,-435,"95","121",0.221729490022173,0.813084112149533,0.0348136021717058
"05/08/2017","01:00","Houston Rockets","San Antonio Spurs",-208,177,"125","104",0.675324675324675,0.36101083032491,0.0363355056495851
"05/07/2017","22:30","Washington Wizards","Boston Celtics",-200,171,"121","102",0.666666666666667,0.3690036900369,0.035670356703567
"05/07/2017","19:30","Toronto Raptors","Cleveland Cavaliers",250,-303,"102","109",0.285714285714286,0.751861042183623,0.0375753278979085
"05/07/2017","00:30","Utah Jazz","Golden State Warriors",231,-278,"91","102",0.302114803625378,0.735449735449735,0.0375645390751131
"05/06/2017","01:30","Houston Rockets","San Antonio Spurs",-222,190,"92","103",0.68944099378882,0.344827586206897,0.0342685799957163
"05/05/2017","23:00","Toronto Raptors","Cleveland Cavaliers",127,-147,"94","115",0.440528634361233,0.595141700404858,0.0356703347660918
"05/05/2017","02:30","Golden State Warriors","Utah Jazz",-1429,918,"115","104",0.934597776324395,0.0982318271119843,0.0328296034363793
"05/05/2017","00:00","Washington Wizards","Boston Celtics",-227,193,"116","89",0.694189602446483,0.341296928327645,0.0354865307741283
"05/04/2017","01:30","San Antonio Spurs","Houston Rockets",-244,209,"121","96",0.709302325581395,0.323624595469256,0.0329269210506511
"05/03/2017","23:00","Cleveland Cavaliers","Toronto Raptors",-345,279,"125","103",0.775280898876405,0.263852242744063,0.0391331416204679
"05/03/2017","02:30","Golden State Warriors","Utah Jazz",-1429,931,"106","94",0.934597776324395,0.0969932104752667,0.0315909867996618
"05/03/2017","00:00","Boston Celtics","Washington Wizards",-208,177,"129","119",0.675324675324675,0.36101083032491,0.0363355056495851
"05/02/2017","01:30","San Antonio Spurs","Houston Rockets",-270,227,"99","126",0.72972972972973,0.305810397553517,0.0355401272832467
"05/01/2017","23:00","Cleveland Cavaliers","Toronto Raptors",-312,259,"116","105",0.757281553398058,0.278551532033426,0.0358330854314843
"04/30/2017","19:30","Los Angeles Clippers","Utah Jazz",-164,144,"91","104",0.621212121212121,0.409836065573771,0.0310481867858918
"04/30/2017","17:00","Boston Celtics","Washington Wizards",-189,162,"123","111",0.653979238754325,0.381679389312977,0.0356586280673024
"04/29/2017","02:30","Utah Jazz","Los Angeles Clippers",-233,196,"93","98",0.6996996996997,0.337837837837838,0.0375375375375375
"04/29/2017","00:00","Chicago Bulls","Boston Celtics",129,-149,"83","105",0.436681222707424,0.598393574297189,0.0350747970046124
"04/28/2017","23:30","Atlanta Hawks","Washington Wizards",-145,125,"99","115",0.591836734693878,0.444444444444444,0.036281179138322
"04/28/2017","01:30","Memphis Grizzlies","San Antonio Spurs",189,-222,"96","103",0.346020761245675,0.68944099378882,0.0354617550344947
"04/27/2017","23:00","Milwaukee Bucks","Toronto Raptors",-118,100,"89","92",0.541284403669725,0.5,0.0412844036697249
"04/27/2017","00:30","Boston Celtics","Chicago Bulls",-370,304,"108","97",0.787234042553192,0.247524752475248,0.0347587950284391
"04/26/2017","22:00","Washington Wizards","Atlanta Hawks",-263,223,"103","99",0.724517906336088,0.309597523219814,0.0341154295559023
"04/26/2017","02:30","Los Angeles Clippers","Utah Jazz",-154,134,"92","96",0.606299212598425,0.427350427350427,0.0336496399488526
"04/26/2017","01:00","San Antonio Spurs","Memphis Grizzlies",-769,551,"116","103",0.884925201380898,0.153609831029186,0.0385350324100835
"04/26/2017","00:00","Houston Rockets","Oklahoma City Thunder",-345,282,"105","99",0.775280898876405,0.261780104712042,0.0370610035884464
"04/25/2017","02:30","Portland Trail Blazers","Golden State Warriors",336,-417,"103","128",0.229357798165138,0.806576402321083,0.0359342004862209
"04/25/2017","00:00","Atlanta Hawks","Washington Wizards",-147,127,"111","101",0.595141700404858,0.440528634361233,0.0356703347660918
"04/24/2017","23:00","Toronto Raptors","Milwaukee Bucks",-244,204,"118","93",0.709302325581395,0.328947368421053,0.0382496940024479
"04/24/2017","01:00","Utah Jazz","Los Angeles Clippers",-192,165,"105","98",0.657534246575342,0.377358490566038,0.0348927371413801
"06/13/2017","01:00","Golden State Warriors","Cleveland Cavaliers",-400,323,"129","120",0.8,0.236406619385343,0.0364066193853427
"06/10/2017","01:00","Cleveland Cavaliers","Golden State Warriors",167,-192,"137","116",0.374531835205993,0.657534246575342,0.032066081781335
"06/08/2017","01:00","Cleveland Cavaliers","Golden State Warriors",137,-156,"113","118",0.421940928270042,0.609375,0.0313159282700421
"06/05/2017","00:00","Golden State Warriors","Cleveland Cavaliers",-400,332,"132","113",0.8,0.231481481481481,0.0314814814814814
"06/02/2017","01:00","Golden State Warriors","Cleveland Cavaliers",-323,270,"113","91",0.763593380614657,0.27027027027027,0.0338636508849275
"05/26/2017","00:30","Boston Celtics","Cleveland Cavaliers",408,-500,"102","135",0.196850393700787,0.833333333333333,0.0301837270341208
"05/24/2017","00:30","Cleveland Cavaliers","Boston Celtics",-2500,1251,"112","99",0.961538461538461,0.074019245003701,0.0355577065421624
"05/23/2017","01:00","San Antonio Spurs","Golden State Warriors",546,-714,"115","129",0.154798761609907,0.877149877149877,0.0319486387597845
"05/22/2017","00:30","Cleveland Cavaliers","Boston Celtics",-3333,1476,"108","111",0.97087095834547,0.0634517766497462,0.0343227349952167
"05/21/2017","01:00","San Antonio Spurs","Golden State Warriors",369,-476,"108","120",0.213219616204691,0.826388888888889,0.0396085050935797
"05/20/2017","00:30","Boston Celtics","Cleveland Cavaliers",181,-213,"86","130",0.355871886120996,0.680511182108626,0.0363830682296227
"05/18/2017","00:30","Boston Celtics","Cleveland Cavaliers",160,-182,"104","117",0.384615384615385,0.645390070921986,0.0300054555373703
"05/17/2017","01:00","Golden State Warriors","San Antonio Spurs",-1250,883,"136","100",0.925925925925926,0.101729399796541,0.027655325722467
"05/16/2017","00:00","Boston Celtics","Washington Wizards",-213,181,"115","105",0.680511182108626,0.355871886120996,0.0363830682296227
"05/14/2017","19:30","Golden State Warriors","San Antonio Spurs",-625,476,"113","111",0.862068965517241,0.173611111111111,0.0356800766283525
"05/13/2017","00:00","Washington Wizards","Boston Celtics",-208,177,"92","91",0.675324675324675,0.36101083032491,0.0363355056495851
"05/12/2017","00:00","Houston Rockets","San Antonio Spurs",-500,393,"75","114",0.833333333333333,0.202839756592292,0.0361730899256254
"05/11/2017","00:00","Boston Celtics","Washington Wizards",-169,146,"123","101",0.628252788104089,0.40650406504065,0.0347568531447395
"05/10/2017","00:00","San Antonio Spurs","Houston Rockets",-222,188,"110","107",0.68944099378882,0.347222222222222,0.0366632160110421
"05/09/2017","01:00","Utah Jazz","Golden State Warriors",351,-435,"95","121",0.221729490022173,0.813084112149533,0.0348136021717058
"05/08/2017","01:00","Houston Rockets","San Antonio Spurs",-208,177,"125","104",0.675324675324675,0.36101083032491,0.0363355056495851
"05/07/2017","22:30","Washington Wizards","Boston Celtics",-200,171,"121","102",0.666666666666667,0.3690036900369,0.035670356703567
"05/07/2017","19:30","Toronto Raptors","Cleveland Cavaliers",250,-303,"102","109",0.285714285714286,0.751861042183623,0.0375753278979085
"05/07/2017","00:30","Utah Jazz","Golden State Warriors",231,-278,"91","102",0.302114803625378,0.735449735449735,0.0375645390751131
"05/06/2017","01:30","Houston Rockets","San Antonio Spurs",-222,190,"92","103",0.68944099378882,0.344827586206897,0.0342685799957163
"05/05/2017","23:00","Toronto Raptors","Cleveland Cavaliers",127,-147,"94","115",0.440528634361233,0.595141700404858,0.0356703347660918
"05/05/2017","02:30","Golden State Warriors","Utah Jazz",-1429,918,"115","104",0.934597776324395,0.0982318271119843,0.0328296034363793
"05/05/2017","00:00","Washington Wizards","Boston Celtics",-227,193,"116","89",0.694189602446483,0.341296928327645,0.0354865307741283
"05/04/2017","01:30","San Antonio Spurs","Houston Rockets",-244,209,"121","96",0.709302325581395,0.323624595469256,0.0329269210506511
"05/03/2017","23:00","Cleveland Cavaliers","Toronto Raptors",-345,279,"125","103",0.775280898876405,0.263852242744063,0.0391331416204679
"05/03/2017","02:30","Golden State Warriors","Utah Jazz",-1429,931,"106","94",0.934597776324395,0.0969932104752667,0.0315909867996618
"05/03/2017","00:00","Boston Celtics","Washington Wizards",-208,177,"129","119",0.675324675324675,0.36101083032491,0.0363355056495851
"05/02/2017","01:30","San Antonio Spurs","Houston Rockets",-270,227,"99","126",0.72972972972973,0.305810397553517,0.0355401272832467
"05/01/2017","23:00","Cleveland Cavaliers","Toronto Raptors",-312,259,"116","105",0.757281553398058,0.278551532033426,0.0358330854314843
"04/30/2017","19:30","Los Angeles Clippers","Utah Jazz",-164,144,"91","104",0.621212121212121,0.409836065573771,0.0310481867858918
