"date","time","home_team","away_team","home_odds","away_odds","home_score","away_score","home_prob","away_prob","pinnacle_margin"
"06/20/2016","00:00","Golden State Warriors","Cleveland Cavaliers",-192,163,"89","93",0.657534246575342,0.380228136882129,0.0377623834574718
"06/17/2016","01:00","Cleveland Cavaliers","Golden State Warriors",-130,110,"115","101",0.565217391304348,0.476190476190476,0.0414078674948239
"06/14/2016","01:00","Golden State Warriors","Cleveland Cavaliers",-227,191,"97","112",0.694189602446483,0.343642611683849,0.037832214130332
"06/11/2016","01:00","Cleveland Cavaliers","Golden State Warriors",-141,120,"97","108",0.5850622406639,0.454545454545455,0.0396076952093549
"06/09/2016","01:00","Cleveland Cavaliers","Golden State Warriors",-119,100,"120","90",0.54337899543379,0.5,0.0433789954337898
"06/06/2016","00:00","Golden State Warriors","Cleveland Cavaliers",-250,209,"110","77",0.714285714285714,0.323624595469256,0.03791030975497
"06/03/2016","01:00","Golden State Warriors","Cleveland Cavaliers",-250,206,"104","89",0.714285714285714,0.326797385620915,0.0410830999066294
"05/31/2016","01:00","Golden State Warriors","Oklahoma City Thunder",-345,272,"96","88",0.775280898876405,0.268817204301075,0.0440981031774799
"05/29/2016","01:00","Oklahoma City Thunder","Golden State Warriors",-154,133,"101","108",0.606299212598425,0.429184549356223,0.0354837619546484
"05/28/2016","00:30","Toronto Raptors","Cleveland Cavaliers",237,-294,"87","113",0.29673590504451,0.746192893401015,0.0429287984455256
"05/27/2016","01:00","Golden State Warriors","Oklahoma City Thunder",-357,283,"120","111",0.781181619256018,0.261096605744125,0.042278225000143
"05/26/2016","00:30","Cleveland Cavaliers","Toronto Raptors",-833,579,"116","78",0.892818863879957,0.147275405007364,0.0400942688873207
"05/25/2016","01:00","Oklahoma City Thunder","Golden State Warriors",104,-125,"118","94",0.490196078431373,0.555555555555556,0.0457516339869282
"05/24/2016","00:30","Toronto Raptors","Cleveland Cavaliers",215,-263,"105","99",0.317460317460317,0.724517906336088,0.0419782237964057
"05/23/2016","00:00","Oklahoma City Thunder","Golden State Warriors",127,-149,"133","105",0.440528634361233,0.598393574297189,0.0389222086584222
"05/22/2016","00:30","Toronto Raptors","Cleveland Cavaliers",218,-263,"99","84",0.314465408805031,0.724517906336088,0.0389833151411196
"05/20/2016","00:30","Cleveland Cavaliers","Toronto Raptors",-1000,708,"108","89",0.909090909090909,0.123762376237624,0.0328532853285328
"05/19/2016","01:00","Golden State Warriors","Oklahoma City Thunder",-476,373,"118","91",0.826388888888889,0.211416490486258,0.0378053793751469
"05/18/2016","00:30","Cleveland Cavaliers","Toronto Raptors",-1000,661,"115","84",0.909090909090909,0.131406044678055,0.0404969537689643
"05/17/2016","01:00","Golden State Warriors","Oklahoma City Thunder",-400,319,"102","108",0.8,0.238663484486874,0.0386634844868736
"05/15/2016","19:30","Toronto Raptors","Miami Heat",-196,167,"116","89",0.662162162162162,0.374531835205993,0.0366939973681548
"05/14/2016","00:00","Miami Heat","Toronto Raptors",-172,149,"103","91",0.632352941176471,0.401606425702811,0.0339593668792817
"05/13/2016","00:30","Oklahoma City Thunder","San Antonio Spurs",-105,-111,"113","99",0.51219512195122,0.5260663507109,0.03826147266212
"05/12/2016","02:30","Golden State Warriors","Portland Trail Blazers",-1250,847,"125","121",0.925925925925926,0.105596620908131,0.0315225468340568
"05/12/2016","00:00","Toronto Raptors","Miami Heat",-208,175,"99","91",0.675324675324675,0.363636363636364,0.0389610389610389
"05/11/2016","00:00","San Antonio Spurs","Oklahoma City Thunder",-345,285,"91","95",0.775280898876405,0.25974025974026,0.0350211586166642
"05/10/2016","02:30","Portland Trail Blazers","Golden State Warriors",219,-256,"125","132",0.313479623824451,0.719101123595506,0.0325807474199571
"05/10/2016","00:00","Miami Heat","Toronto Raptors",-213,181,"94","87",0.680511182108626,0.355871886120996,0.0363830682296227
"05/09/2016","00:00","Oklahoma City Thunder","San Antonio Spurs",-128,110,"111","97",0.56140350877193,0.476190476190476,0.0375939849624061
"05/08/2016","19:30","Atlanta Hawks","Cleveland Cavaliers",185,-217,"99","100",0.350877192982456,0.684542586750789,0.0354197797332447
"05/08/2016","00:30","Portland Trail Blazers","Golden State Warriors",137,-159,"120","108",0.421940928270042,0.613899613899614,0.0358405421696562
"05/07/2016","21:00","Miami Heat","Toronto Raptors",-238,199,"91","95",0.704142011834319,0.334448160535117,0.0385901723694366
"05/07/2016","01:30","Oklahoma City Thunder","San Antonio Spurs",121,-141,"96","100",0.452488687782805,0.5850622406639,0.0375509284467057
"05/06/2016","23:00","Atlanta Hawks","Cleveland Cavaliers",124,-145,"108","121",0.446428571428571,0.591836734693878,0.0382653061224489
"05/06/2016","00:00","Toronto Raptors","Miami Heat",-227,189,"96","92",0.694189602446483,0.346020761245675,0.040210363692158
"05/05/2016","00:00","Cleveland Cavaliers","Atlanta Hawks",-357,292,"123","98",0.781181619256018,0.255102040816327,0.0362836600723442
"05/04/2016","02:30","Golden State Warriors","Portland Trail Blazers",-556,417,"110","99",0.847560975609756,0.193423597678917,0.0409845732886729
"05/04/2016","00:00","Toronto Raptors","Miami Heat",-172,149,"96","102",0.632352941176471,0.401606425702811,0.0339593668792817
"05/03/2016","01:30","San Antonio Spurs","Oklahoma City Thunder",-370,298,"97","98",0.787234042553192,0.251256281407035,0.0384903239602266
"05/02/2016","23:00","Cleveland Cavaliers","Atlanta Hawks",-385,312,"104","93",0.793814432989691,0.242718446601942,0.0365328795916324
"05/02/2016","00:00","Toronto Raptors","Indiana Pacers",-263,223,"89","84",0.724517906336088,0.309597523219814,0.0341154295559023
"05/01/2016","19:30","Golden State Warriors","Portland Trail Blazers",-556,423,"118","106",0.847560975609756,0.191204588910134,0.0387655645198899
"05/01/2016","17:00","Miami Heat","Charlotte Hornets",-270,225,"106","73",0.72972972972973,0.307692307692308,0.0374220374220375
"05/01/2016","00:30","San Antonio Spurs","Oklahoma City Thunder",-303,248,"124","92",0.751861042183623,0.28735632183908,0.0392173640227034
"04/30/2016","02:30","Portland Trail Blazers","Los Angeles Clippers",-556,421,"106","103",0.847560975609756,0.191938579654511,0.0394995552642667
"04/30/2016","00:00","Charlotte Hornets","Miami Heat",-128,110,"90","97",0.56140350877193,0.476190476190476,0.0375939849624061
"04/29/2016","23:30","Indiana Pacers","Toronto Raptors",-116,100,"101","83",0.537037037037037,0.5,0.0370370370370372
"04/29/2016","00:00","Boston Celtics","Atlanta Hawks",129,-149,"92","104",0.436681222707424,0.598393574297189,0.0350747970046124
"04/28/2016","02:30","Golden State Warriors","Houston Rockets",-526,399,"114","81",0.840255591054313,0.200400801603206,0.0406563926575194
"04/28/2016","02:00","Los Angeles Clippers","Portland Trail Blazers",129,-149,"98","108",0.436681222707424,0.598393574297189,0.0350747970046124
"06/20/2016","00:00","Golden State Warriors","Cleveland Cavaliers",-192,163,"89","93",0.657534246575342,0.380228136882129,0.0377623834574718
"06/17/2016","01:00","Cleveland Cavaliers","Golden State Warriors",-130,110,"115","101",0.565217391304348,0.476190476190476,0.0414078674948239
"06/14/2016","01:00","Golden State Warriors","Cleveland Cavaliers",-227,191,"97","112",0.694189602446483,0.343642611683849,0.037832214130332
"06/11/2016","01:00","Cleveland Cavaliers","Golden State Warriors",-141,120,"97","108",0.5850622406639,0.454545454545455,0.0396076952093549
"06/09/2016","01:00","Cleveland Cavaliers","Golden State Warriors",-119,100,"120","90",0.54337899543379,0.5,0.0433789954337898
"06/06/2016","00:00","Golden State Warriors","Cleveland Cavaliers",-250,209,"110","77",0.714285714285714,0.323624595469256,0.03791030975497
"06/03/2016","01:00","Golden State Warriors","Cleveland Cavaliers",-250,206,"104","89",0.714285714285714,0.326797385620915,0.0410830999066294
"05/31/2016","01:00","Golden State Warriors","Oklahoma City Thunder",-345,272,"96","88",0.775280898876405,0.268817204301075,0.0440981031774799
"05/29/2016","01:00","Oklahoma City Thunder","Golden State Warriors",-154,133,"101","108",0.606299212598425,0.429184549356223,0.0354837619546484
"05/28/2016","00:30","Toronto Raptors","Cleveland Cavaliers",237,-294,"87","113",0.29673590504451,0.746192893401015,0.0429287984455256
"05/27/2016","01:00","Golden State Warriors","Oklahoma City Thunder",-357,283,"120","111",0.781181619256018,0.261096605744125,0.042278225000143
"05/26/2016","00:30","Cleveland Cavaliers","Toronto Raptors",-833,579,"116","78",0.892818863879957,0.147275405007364,0.0400942688873207
"05/25/2016","01:00","Oklahoma City Thunder","Golden State Warriors",104,-125,"118","94",0.490196078431373,0.555555555555556,0.0457516339869282
"05/24/2016","00:30","Toronto Raptors","Cleveland Cavaliers",215,-263,"105","99",0.317460317460317,0.724517906336088,0.0419782237964057
"05/23/2016","00:00","Oklahoma City Thunder","Golden State Warriors",127,-149,"133","105",0.440528634361233,0.598393574297189,0.0389222086584222
"05/22/2016","00:30","Toronto Raptors","Cleveland Cavaliers",218,-263,"99","84",0.314465408805031,0.724517906336088,0.0389833151411196
"05/20/2016","00:30","Cleveland Cavaliers","Toronto Raptors",-1000,708,"108","89",0.909090909090909,0.123762376237624,0.0328532853285328
"05/19/2016","01:00","Golden State Warriors","Oklahoma City Thunder",-476,373,"118","91",0.826388888888889,0.211416490486258,0.0378053793751469
