"date","time","home_team","away_team","home_odds","away_odds","home_score","away_score","home_prob","away_prob","pinnacle_margin"
"06/16/2014","00:00","San Antonio Spurs","Miami Heat",-227,188,"104","87",0.694189602446483,0.347222222222222,0.0414118246687054
"06/13/2014","01:00","Miami Heat","San Antonio Spurs",-233,197,"86","107",0.6996996996997,0.336700336700337,0.0364000364000363
"06/11/2014","01:00","Miami Heat","San Antonio Spurs",-196,166,"92","111",0.662162162162162,0.37593984962406,0.0381020117862223
"06/09/2014","00:00","San Antonio Spurs","Miami Heat",-179,152,"96","98",0.6415770609319,0.396825396825397,0.0384024577572963
"06/06/2014","01:00","San Antonio Spurs","Miami Heat",-227,191,"110","95",0.694189602446483,0.343642611683849,0.037832214130332
"06/01/2014","00:30","Oklahoma City Thunder","San Antonio Spurs",-161,138,"107","112",0.616858237547893,0.420168067226891,0.0370263047747836
"05/31/2014","00:30","Miami Heat","Indiana Pacers",-417,334,"117","92",0.806576402321083,0.230414746543779,0.036991148864862
"05/30/2014","01:00","San Antonio Spurs","Oklahoma City Thunder",-222,184,"117","89",0.68944099378882,0.352112676056338,0.041553669845158
"05/29/2014","00:30","Indiana Pacers","Miami Heat",-109,-108,"93","90",0.521531100478469,0.519230769230769,0.040761869709238
"05/28/2014","01:00","Oklahoma City Thunder","San Antonio Spurs",-133,114,"105","92",0.570815450643777,0.467289719626168,0.0381051702699451
"05/27/2014","00:30","Miami Heat","Indiana Pacers",-278,227,"102","90",0.735449735449735,0.305810397553517,0.0412601330032523
"05/26/2014","00:30","Oklahoma City Thunder","San Antonio Spurs",-141,120,"106","97",0.5850622406639,0.454545454545455,0.0396076952093549
"05/25/2014","00:30","Miami Heat","Indiana Pacers",-294,241,"99","87",0.746192893401015,0.293255131964809,0.0394480253658247
"05/22/2014","01:00","San Antonio Spurs","Oklahoma City Thunder",-233,190,"112","77",0.6996996996997,0.344827586206897,0.0445272859065962
"05/21/2014","00:30","Indiana Pacers","Miami Heat",122,-143,"83","87",0.450450450450451,0.588477366255144,0.0389278167055946
"05/20/2014","01:00","San Antonio Spurs","Oklahoma City Thunder",-263,220,"122","105",0.724517906336088,0.3125,0.037017906336088
"05/18/2014","19:30","Indiana Pacers","Miami Heat",112,-132,"107","96",0.471698113207547,0.568965517241379,0.0406636304489265
