"date","time","home_team","away_team","home_odds","away_odds","home_score","away_score","home_prob","away_prob","pinnacle_margin"
"10/30/2014","00:00","Kansas City Royals","San Francisco Giants","-141","121","2","2",0.5850622406639,0.452488687782805,0.0375509284467057
"10/29/2014","00:00","Kansas City Royals","San Francisco Giants","-143","122","10","0",0.588477366255144,0.450450450450451,0.0389278167055946
"10/27/2014","00:00","San Francisco Giants","Kansas City Royals","-167","143","5","5",0.625468164794008,0.411522633744856,0.0369907985388636
"10/27/2014","00:00","San Francisco Giants","Kansas City Royals","-127","-106","11","4",0.559471365638767,0.514563106796116,0.0740344724348829
"10/25/2014","00:00","San Francisco Giants","Kansas City Royals","-128","110","2","2",0.56140350877193,0.476190476190476,0.0375939849624061
"10/23/2014","00:00","Kansas City Royals","San Francisco Giants","-143","125","7","7",0.588477366255144,0.444444444444444,0.0329218106995885
"10/22/2014","00:00","Kansas City Royals","San Francisco Giants","-104","-110","1","1",0.509803921568627,0.523809523809524,0.0336134453781511
"10/17/2014","00:00","San Francisco Giants","St.Louis Cardinals","-152","133","6","6",0.603174603174603,0.429184549356223,0.0323591525308262
"10/16/2014","00:00","San Francisco Giants","St.Louis Cardinals","-115","-101","6","6",0.534883720930233,0.502487562189055,0.0373712831192874
"10/15/2014","20:00","Kansas City Royals","Baltimore Orioles","-118","102","2","2",0.541284403669725,0.495049504950495,0.0363339086202199
"10/15/2014","00:00","Kansas City Royals","Baltimore Orioles","-102","-111","2","2",0.504950495049505,0.5260663507109,0.0310168457604054
"10/14/2014","20:00","San Francisco Giants","St.Louis Cardinals","-125","108","5","5",0.555555555555556,0.480769230769231,0.0363247863247862
"10/13/2014","00:00","St.Louis Cardinals","San Francisco Giants","-133","116","5","5",0.570815450643777,0.462962962962963,0.0337784136067398
"10/12/2014","00:00","St.Louis Cardinals","San Francisco Giants","-122","104","0","0",0.549549549549549,0.490196078431373,0.0397456279809221
"10/11/2014","20:00","Baltimore Orioles","Kansas City Royals","-122","108","4","4",0.549549549549549,0.480769230769231,0.0303187803187801
"10/11/2014","00:00","Baltimore Orioles","Kansas City Royals","-125","106","6","6",0.555555555555556,0.485436893203884,0.0409924487594391
"10/08/2014","01:00","San Francisco Giants","Washington Nationals","125","-145","3","3",0.444444444444444,0.591836734693878,0.036281179138322
"10/07/2014","21:00","St.Louis Cardinals","Los Angeles Dodgers","148","-172","3","3",0.403225806451613,0.632352941176471,0.0355787476280836
"10/07/2014","01:00","St.Louis Cardinals","Los Angeles Dodgers","-111","-104","3","3",0.5260663507109,0.509803921568627,0.0358702722795279
"10/06/2014","21:00","San Francisco Giants","Washington Nationals","-132","114","1","1",0.568965517241379,0.467289719626168,0.0362552368675475
"10/05/2014","23:30","Kansas City Royals","Los Angeles Angels","-125","106","8","8",0.555555555555556,0.485436893203884,0.0409924487594391
"10/05/2014","19:30","Detroit Tigers","Baltimore Orioles","-169","147","1","1",0.628252788104089,0.404858299595142,0.0331110876992309
