"date","time","home_team","away_team","home_odds","away_odds","home_score","away_score","home_prob","away_prob","pinnacle_margin"
"11/02/2015","00:15","New York Mets","Kansas City Royals","-149","129","2","2",0.598393574297189,0.436681222707424,0.0350747970046124
"11/01/2015","00:07","New York Mets","Kansas City Royals","-135","116","3","3",0.574468085106383,0.462962962962963,0.0374310480693461
"10/31/2015","00:00","New York Mets","Kansas City Royals","-149","127","9","9",0.598393574297189,0.440528634361233,0.0389222086584222
"10/29/2015","00:00","Kansas City Royals","New York Mets","102","-120","7","7",0.495049504950495,0.545454545454545,0.0405040504050405
"10/28/2015","00:00","Kansas City Royals","New York Mets","-109","-106","5","5",0.521531100478469,0.514563106796116,0.0360942072745853
"10/24/2015","00:00","Kansas City Royals","Toronto Blue Jays","122","-143","4","4",0.450450450450451,0.588477366255144,0.0389278167055946
"10/22/2015","00:00","Chicago Cubs","New York Mets","-114","-103","3","3",0.532710280373832,0.507389162561576,0.040099442935408
"10/21/2015","20:00","Toronto Blue Jays","Kansas City Royals","-141","120","7","7",0.5850622406639,0.454545454545455,0.0396076952093549
"10/21/2015","00:00","Chicago Cubs","New York Mets","-108","-110","2","2",0.519230769230769,0.523809523809524,0.0430402930402929
"10/20/2015","20:00","Toronto Blue Jays","Kansas City Royals","-159","138","2","2",0.613899613899614,0.420168067226891,0.0340676811265048
"10/20/2015","00:07","Toronto Blue Jays","Kansas City Royals","-161","138","11","8",0.616858237547893,0.420168067226891,0.0370263047747836
"10/19/2015","00:00","New York Mets","Chicago Cubs","125","-145","4","4",0.444444444444444,0.591836734693878,0.036281179138322
"10/17/2015","23:30","New York Mets","Chicago Cubs","-125","106","4","4",0.555555555555556,0.485436893203884,0.0409924487594391
"10/17/2015","19:30","Kansas City Royals","Toronto Blue Jays","139","-161","6","6",0.418410041841004,0.616858237547893,0.035268279388897
"10/16/2015","23:30","Kansas City Royals","Toronto Blue Jays","104","-122","5","5",0.490196078431373,0.549549549549549,0.0397456279809221
"10/16/2015","00:00","Los Angeles Dodgers","New York Mets","-145","125","2","2",0.591836734693878,0.444444444444444,0.036281179138322
"10/15/2015","00:00","Kansas City Royals","Houston Astros","-127","106","7","7",0.559471365638767,0.485436893203884,0.0449082588426499
"10/14/2015","20:00","Toronto Blue Jays","Texas Rangers","-172","150","6","6",0.632352941176471,0.4,0.0323529411764705
"10/14/2015","00:00","New York Mets","Los Angeles Dodgers","133","-154","1","1",0.429184549356223,0.606299212598425,0.0354837619546484
"10/13/2015","20:30","Chicago Cubs","St.Louis Cardinals","-120","100","6","6",0.545454545454545,0.5,0.0454545454545454
"10/13/2015","00:30","New York Mets","Los Angeles Dodgers","-172","148","13","7",0.632352941176471,0.403225806451613,0.0355787476280836
"10/12/2015","22:00","Chicago Cubs","St.Louis Cardinals","-213","181","8","8",0.680511182108626,0.355871886120996,0.0363830682296227
"10/12/2015","20:00","Texas Rangers","Toronto Blue Jays","136","-159","4","4",0.423728813559322,0.613899613899614,0.037628427458936
