"date","time","home_team","away_team","home_odds","away_odds","home_score","away_score","home_prob","away_prob","pinnacle_margin"
"10/31/2013","00:07","Boston Red Sox","St.Louis Cardinals","-120","100","6","6",0.545454545454545,0.5,0.0454545454545454
"10/29/2013","00:07","St.Louis Cardinals","Boston Red Sox","-132","114","1","1",0.568965517241379,0.467289719626168,0.0362552368675475
"10/28/2013","00:00","St.Louis Cardinals","Boston Red Sox","-103","-115","2","2",0.507389162561576,0.534883720930233,0.0422728834918091
"10/28/2013","00:05","St.Louis Cardinals","Boston Red Sox","-179","193","5","5",0.6415770609319,0.341296928327645,-0.0171260107404554
"10/25/2013","00:00","Boston Red Sox","St.Louis Cardinals","-119","-101","2","2",0.54337899543379,0.502487562189055,0.0458665576228445
"10/23/2013","23:30","Boston Red Sox","St.Louis Cardinals","-123","104","8","8",0.551569506726457,0.490196078431373,0.04176558515783
"10/20/2013","00:00","Boston Red Sox","Detroit Tigers","-115","-103","5","5",0.534883720930233,0.507389162561576,0.0422728834918091
"10/19/2013","00:30","St.Louis Cardinals","Los Angeles Dodgers","112","-133","9","9",0.471698113207547,0.570815450643777,0.0425135638513239
"10/18/2013","00:00","Detroit Tigers","Boston Red Sox","-119","100","3","3",0.54337899543379,0.5,0.0433789954337898
"10/17/2013","00:00","Detroit Tigers","Boston Red Sox","-116","-103","7","7",0.537037037037037,0.507389162561576,0.0444261995986135
"10/16/2013","20:00","Los Angeles Dodgers","St.Louis Cardinals","-175","148","6","6",0.636363636363636,0.403225806451613,0.0395894428152492
"10/16/2013","00:00","Los Angeles Dodgers","St.Louis Cardinals","-132","110","2","2",0.568965517241379,0.476190476190476,0.0451559934318555
"10/15/2013","20:00","Detroit Tigers","Boston Red Sox","-147","124","0","0",0.595141700404858,0.446428571428571,0.0415702718334297
"10/15/2013","00:00","Los Angeles Dodgers","St.Louis Cardinals","-101","-118","3","3",0.502487562189055,0.541284403669725,0.0437719658587796
"10/14/2013","00:00","Boston Red Sox","Detroit Tigers","-135","114","6","6",0.574468085106383,0.467289719626168,0.0417578047325513
"10/13/2013","00:00","Boston Red Sox","Detroit Tigers","-149","124","0","0",0.598393574297189,0.446428571428571,0.0448221457257603
"10/12/2013","20:00","St.Louis Cardinals","Los Angeles Dodgers","117","-137","1","1",0.460829493087558,0.578059071729958,0.0388885648175155
"10/12/2013","00:30","St.Louis Cardinals","Los Angeles Dodgers","110","-132","3","3",0.476190476190476,0.568965517241379,0.0451559934318555
"10/11/2013","00:00","Oakland Athletics","Detroit Tigers","-105","-112","0","0",0.51219512195122,0.528301886792453,0.0404970087436722
"10/10/2013","00:00","St.Louis Cardinals","Pittsburgh Pirates","-167","141","6","6",0.625468164794008,0.4149377593361,0.0404059241301071
"10/09/2013","00:30","Tampa Bay Rays","Boston Red Sox","102","-123","1","1",0.495049504950495,0.551569506726457,0.0466190116769525
"10/08/2013","21:00","Detroit Tigers","Oakland Athletics","-156","131","8","8",0.609375,0.432900432900433,0.0422754329004329
"10/08/2013","01:30","Los Angeles Dodgers","Atlanta Braves","-233","191","4","4",0.6996996996997,0.343642611683849,0.0433423113835485
"10/07/2013","22:00","Tampa Bay Rays","Boston Red Sox","-110","-110","5","5",0.523809523809524,0.523809523809524,0.0476190476190477
"10/07/2013","19:00","Pittsburgh Pirates","St.Louis Cardinals","100","-120","1","1",0.5,0.545454545454545,0.0454545454545454
"10/07/2013","17:00","Detroit Tigers","Oakland Athletics","-161","136","3","3",0.616858237547893,0.423728813559322,0.0405870511072148
"10/07/2013","00:00","Los Angeles Dodgers","Atlanta Braves","-147","123","13","6",0.595141700404858,0.448430493273543,0.043572193678401
"10/06/2013","20:30","Pittsburgh Pirates","St.Louis Cardinals","-164","140","5","5",0.621212121212121,0.416666666666667,0.0378787878787878
"10/06/2013","01:00","Oakland Athletics","Detroit Tigers","-102","-116","1","1",0.504950495049505,0.537037037037037,0.0419875320865422
"10/05/2013","21:30","Boston Red Sox","Tampa Bay Rays","-108","-111","7","7",0.519230769230769,0.5260663507109,0.0452971199416696
"10/05/2013","01:30","Oakland Athletics","Detroit Tigers","100","-119","2","2",0.5,0.54337899543379,0.0433789954337898
"10/04/2013","22:00","Atlanta Braves","Los Angeles Dodgers","-104","-114","4","4",0.509803921568627,0.532710280373832,0.0425142019424591
"10/04/2013","19:00","Boston Red Sox","Tampa Bay Rays","-147","123","12","2",0.595141700404858,0.448430493273543,0.043572193678401
"10/04/2013","17:00","St.Louis Cardinals","Pittsburgh Pirates","-132","110","1","1",0.568965517241379,0.476190476190476,0.0451559934318555
"10/04/2013","00:30","Atlanta Braves","Los Angeles Dodgers","123","-145","1","1",0.448430493273543,0.591836734693878,0.0402672279674201
"10/03/2013","21:00","St.Louis Cardinals","Pittsburgh Pirates","-152","127","9","9",0.603174603174603,0.440528634361233,0.0437032375358366
"10/03/2013","00:00","Cleveland Guardians","Tampa Bay Rays","-101","-118","0","0",0.502487562189055,0.541284403669725,0.0437719658587796
"10/02/2013","00:00","Pittsburgh Pirates","Cincinnati Reds","-141","119","6","6",0.5850622406639,0.45662100456621,0.0416832452301104
"10/01/2013","00:07","Texas Rangers","Tampa Bay Rays","-103","-119","2","2",0.507389162561576,0.54337899543379,0.0507681579953663
"09/29/2013","20:10","Arizona Diamondbacks","Washington Nationals","-123","110","3","3",0.551569506726457,0.476190476190476,0.0277599829169337
"09/29/2013","20:10","Los Angeles Dodgers","Colorado Rockies","-204","175","1","1",0.671052631578947,0.363636363636364,0.0346889952153111
"09/29/2013","20:10","Seattle Mariners","Oakland Athletics","114","-137","0","0",0.467289719626168,0.578059071729958,0.0453487913561261
"09/29/2013","20:05","San Francisco Giants","San Diego Padres","-112","-106","7","7",0.528301886792453,0.514563106796116,0.0428649935885694
"09/29/2013","19:05","Texas Rangers","Los Angeles Angels","-250","204","6","6",0.714285714285714,0.328947368421053,0.0432330827067671
"09/29/2013","18:15","St.Louis Cardinals","Chicago Cubs","-156","140","4","4",0.609375,0.416666666666667,0.0260416666666667
"09/29/2013","18:10","Chicago White Sox","Kansas City Royals","-114","-105","1","1",0.532710280373832,0.51219512195122,0.0449054023250512
"09/29/2013","18:10","Houston Astros","New York Yankees","106","-125","1","1",0.485436893203884,0.555555555555556,0.0409924487594391
"09/29/2013","18:10","Minnesota Twins","Cleveland Guardians","189","-233","1","1",0.346020761245675,0.6996996996997,0.0457204609453745
