"date","time","home_team","away_team","home_odds","away_odds","home_score","away_score","home_prob","away_prob","pinnacle_margin"
"10/28/2020","00:08","Los Angeles Dodgers","Tampa Bay Rays","-120","104","3","3",0.545454545454545,0.490196078431373,0.035650623885918
"10/26/2020","00:08","Tampa Bay Rays","Los Angeles Dodgers","144","-167","2","2",0.409836065573771,0.625468164794008,0.0353042303677782
"10/26/2020","00:08","Tampa Bay Rays","Los Angeles Dodgers","241","-278","8","8",0.293255131964809,0.735449735449735,0.0287048674145449
"10/24/2020","00:08","Tampa Bay Rays","Los Angeles Dodgers","138","-161","2","2",0.420168067226891,0.616858237547893,0.0370263047747836
"10/22/2020","00:08","Los Angeles Dodgers","Tampa Bay Rays","-133","114","4","4",0.570815450643777,0.467289719626168,0.0381051702699451
"10/21/2020","00:11","Los Angeles Dodgers","Tampa Bay Rays","-164","140","8","8",0.621212121212121,0.416666666666667,0.0378787878787878
"10/19/2020","00:15","Los Angeles Dodgers","Atlanta Braves","-159","135","4","4",0.613899613899614,0.425531914893617,0.039431528793231
"10/18/2020","00:37","Tampa Bay Rays","Houston Astros","-119","100","4","4",0.54337899543379,0.5,0.0433789954337898
"10/17/2020","20:38","Los Angeles Dodgers","Atlanta Braves","-154","129","3","3",0.606299212598425,0.436681222707424,0.0429804353058487
"10/17/2020","01:08","Atlanta Braves","Los Angeles Dodgers","163","-192","3","3",0.380228136882129,0.657534246575342,0.0377623834574718
"10/16/2020","22:07","Tampa Bay Rays","Houston Astros","-133","112","4","4",0.570815450643777,0.471698113207547,0.0425135638513239
"10/16/2020","00:08","Atlanta Braves","Los Angeles Dodgers","181","-217","10","2",0.355871886120996,0.684542586750789,0.040414472871785
"10/15/2020","21:07","Houston Astros","Tampa Bay Rays","114","-135","4","4",0.467289719626168,0.574468085106383,0.0417578047325513
"10/15/2020","00:40","Houston Astros","Tampa Bay Rays","112","-132","4","4",0.471698113207547,0.568965517241379,0.0406636304489265
"10/14/2020","22:05","Atlanta Braves","Los Angeles Dodgers","162","-192","3","3",0.381679389312977,0.657534246575342,0.0392136358883195
"10/14/2020","00:40","Houston Astros","Tampa Bay Rays","-108","-110","2","2",0.519230769230769,0.523809523809524,0.0430402930402929
"10/13/2020","22:05","Los Angeles Dodgers","Atlanta Braves","-147","124","7","7",0.595141700404858,0.446428571428571,0.0415702718334297
"10/13/2020","00:08","Los Angeles Dodgers","Atlanta Braves","-152","129","1","1",0.603174603174603,0.436681222707424,0.0398558258820267
"10/12/2020","20:07","Tampa Bay Rays","Houston Astros","-118","-101","4","4",0.541284403669725,0.502487562189055,0.0437719658587796
"10/11/2020","23:37","Tampa Bay Rays","Houston Astros","-135","114","2","2",0.574468085106383,0.467289719626168,0.0417578047325513
"10/09/2020","23:10","Tampa Bay Rays","New York Yankees","131","-156","2","2",0.432900432900433,0.609375,0.0422754329004329
"10/09/2020","01:08","San Diego Padres","Los Angeles Dodgers","140","-167","3","3",0.416666666666667,0.625468164794008,0.0421348314606742
"10/08/2020","23:10","New York Yankees","Tampa Bay Rays","-135","112","5","5",0.574468085106383,0.471698113207547,0.0461661983139301
"10/08/2020","19:35","Houston Astros","Oakland Athletics","-111","-105","11","6",0.5260663507109,0.51219512195122,0.03826147266212
"10/08/2020","18:08","Miami Marlins","Atlanta Braves","110","-128","0","0",0.476190476190476,0.56140350877193,0.0375939849624061
"10/08/2020","01:08","Los Angeles Dodgers","San Diego Padres","-233","193","6","6",0.6996996996997,0.341296928327645,0.0409966280273448
"10/07/2020","23:10","New York Yankees","Tampa Bay Rays","-141","119","4","4",0.5850622406639,0.45662100456621,0.0416832452301104
